id,name,description,category,price,rating,stock
1,Bluetooth Speaker Mini,High-quality electronic device with modern features and durability.,Electronics,4459,4.3,385
2,Yoga Mat Comfort,Durable and reliable sports gear perfect for active lifestyles.,Sports,1219,3.7,104
3,Herbal Face Wash,Premium beauty product designed for care and daily use.,Beauty,2619,3.6,373
4,Code Mastery,A captivating book that explores unique stories and inspires readers.,Books,2917,5.0,202
5,Denim Jeans Classic,Comfortable and stylish apparel designed for everyday use.,Clothing,3843,4.0,117
6,Herbal Face Wash,Premium beauty product designed for care and daily use.,Beauty,3777,4.8,351
7,Vacuum Cleaner Pro,Essential home product built for convenience and durability.,Home & Kitchen,4999,4.0,379
8,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,452,3.6,215
9,The Silent Forest,A captivating book that explores unique stories and inspires readers.,Books,4403,4.5,160
10,Casual Sneakers,Comfortable and stylish apparel designed for everyday use.,Clothing,2608,3.7,482
11,Wireless Mouse Pro,High-quality electronic device with modern features and durability.,Electronics,4460,4.4,37
12,Winter Wool Jacket,Comfortable and stylish apparel designed for everyday use.,Clothing,161,4.4,181
13,Electric Kettle,Essential home product built for convenience and durability.,Home & Kitchen,3690,4.5,498
14,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,941,5.0,463
15,Remote Car Speedster,Fun and engaging toy that sparks creativity and joy in kids.,Toys,3595,4.5,26
16,Football Pro Edition,Durable and reliable sports gear perfect for active lifestyles.,Sports,2888,3.6,396
17,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,333,4.1,21
18,Vacuum Cleaner Pro,Essential home product built for convenience and durability.,Home & Kitchen,1410,3.9,249
19,Cotton Summer Shirt,Comfortable and stylish apparel designed for everyday use.,Clothing,3171,4.8,232
20,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,971,4.6,109
21,Wireless Mouse Pro,High-quality electronic device with modern features and durability.,Electronics,1499,3.8,371
22,Non-stick Frying Pan,Essential home product built for convenience and durability.,Home & Kitchen,241,3.6,415
23,Legends of Dawn,A captivating book that explores unique stories and inspires readers.,Books,3538,4.5,305
24,Perfume Classic,Premium beauty product designed for care and daily use.,Beauty,1489,4.3,263
25,Tennis Ball Pack,Durable and reliable sports gear perfect for active lifestyles.,Sports,1930,4.4,118
26,Cricket Bat PowerShot,Durable and reliable sports gear perfect for active lifestyles.,Sports,2212,4.7,54
27,Ceramic Dinner Set,Essential home product built for convenience and durability.,Home & Kitchen,2490,4.5,76
28,Noise Cancelling Headphones,High-quality electronic device with modern features and durability.,Electronics,260,3.7,255
29,Cotton Summer Shirt,Comfortable and stylish apparel designed for everyday use.,Clothing,1939,4.8,155
30,Air Purifier Compact,Essential home product built for convenience and durability.,Home & Kitchen,3392,4.7,366
31,Moisturizing Cream,Premium beauty product designed for care and daily use.,Beauty,2461,3.9,349
32,Ceramic Dinner Set,Essential home product built for convenience and durability.,Home & Kitchen,2187,4.0,439
33,Lipstick Matte Red,Premium beauty product designed for care and daily use.,Beauty,4576,3.7,342
